"Gene","KO1","KO2","KO3","KOGFP1","KOGFP2","KOGFP3","RE1","RE2","RE3","WT1","WT2","WT3","RND1","RND2","RND3"
"CEBPG",17.6962136623759,20.2904531492907,20.1346042996571,20.9341090811648,20.5474782366561,20.4447985450623,21.0330599805759,17.7621159731556,20.4214628878868,20.7908408451874,20.2691392380094,20.2458903805948,22.2353420126978,23.8416520642761,19.7205832854569
"HSPA5",29.497629299453,25.8709959959088,29.3043227857258,29.3506690934636,29.1871550496387,29.1380364928466,29.5521310684471,29.1405693085572,29.5960609936093,29.2434240938132,29.1706995872521,29.2082844025333,25.9415613787132,20.0167729292139,16.5140975968198
"AAAS",23.6087680564718,23.8030845193478,23.789699099505,23.7245668309353,24.0344106787607,23.7483093643302,23.9091969875318,23.3498547387163,23.7814053413639,23.5313732499482,23.3359988426059,23.6179843812085,22.2592567956683,16.9682392846606,27.3718743988203
"AACS",23.5046103794934,23.4081883532171,23.5397179237594,23.3240956485475,23.4989564265395,19.8782230824928,23.5557246901507,16.7543916992813,23.7575995765153,23.9851547002799,24.0407499091285,24.1740177283598,22.2863146554224,17.4988569957678,25.7154539871834
"AAGAB",24.3363133431851,24.4125646138797,24.3687251839625,24.3912686354161,24.6511417696278,24.3968454102616,21.0104700557804,24.1033464039001,24.4311441927924,24.403858639029,24.5060277390752,24.6607570037633,21.2969946004022,23.6144391390861,23.5596109515645
"AAK1",23.5290688751458,23.4985788696426,23.459085235269,23.6759334580906,23.6723941554471,23.6165027402994,23.4305015554203,23.4953952864171,23.3464400138645,23.0817758148443,23.0699043535868,23.016804207907,22.5982694970981,17.6017707884077,20.4702666372772
"AAMDC",22.4881473355266,22.31051321354,18.9665702266298,21.8924431316622,21.8064359472502,21.6592573030116,21.9343492073205,21.9889294176387,22.2630152583049,22.3959639529812,22.2124987600456,19.1378516996963,NA,17.4925964813184,21.1625978516314
"AAMP",24.2329262589344,20.7283565107003,24.2250431610273,23.8529907130517,23.9734618620421,23.7865302791594,24.2700504625575,24.267389577903,24.3161054798332,23.7868649488634,23.954350753636,20.5940065224365,NA,17.8342673418379,22.5870007744214
"AAR2",19.8110187050345,23.2040512268931,23.2600924253341,19.914710671236,23.2617270895108,23.258326647875,23.3735741080558,23.4553762644151,23.3143995856341,23.2303645501337,23.3415307674737,23.2229354894604,20.5601107549441,24.8812670451984,25.2607390344993
"AARS1",26.9172456597535,26.5380953815604,26.7257248441888,26.8221192894072,26.766181208217,26.5107536664469,26.8413225717883,26.317802236096,26.9820705823876,26.7361925787659,26.7047261896615,26.7862593561769,24.3583517287632,21.6795694404678,20.8577448970041
"AARS2",19.7415657364239,19.4732003659229,22.8263659650289,23.0935866525437,22.8915395381592,19.4286975287725,22.6563840540093,22.4502230467298,22.7576246004606,23.1313001125139,22.9483542193326,23.0414178570968,24.3449737053398,21.1907373895367,16.8077070995379
"AARSD1",21.2597645231709,24.2330594233529,24.3378903294439,24.5553573728037,21.0323504815072,24.1506555219569,20.7839534056001,23.7089470418471,24.2094491264828,24.4386372403163,24.2674763076325,24.3717289941027,20.1733880120922,19.6057073808317,23.1947503930255
"AASDHPPT",22.8660288339578,22.5032012120089,22.8412627694237,22.8512259525677,23.0630219097574,22.7266472472562,22.7125270004398,22.4385418761951,23.0058737887443,22.7340908279961,22.8598325696184,22.9605133744435,24.1996993002327,20.7414653405102,27.0107352958393
"AASS",20.0474314896395,NA,NA,NA,19.9431887211107,20.4309700697834,20.03608639342,16.6778159722284,NA,19.9842167784937,NA,NA,20.4039648372267,24.4350414040052,23.6100999221827
"AATF",23.1750169339664,19.7139469379928,23.1117186588272,22.9869271944674,23.1150970062885,23.0493779593272,23.1483277729931,23.600472496371,23.1649544817915,22.9016791548007,22.9590314080506,22.9035384082872,22.239213045429,24.733148639872,22.9657524083575
"ABCA1",20.7627072534239,20.5496361590794,20.7054400241976,20.5785016872043,20.4654538094313,20.3300491922953,20.2105595800505,17.0786303473903,20.2709739398938,20.2137995910207,20.0178401013869,19.9403465782277,26.5037537669097,21.9966941484117,23.9016064287165
"ABCA3",20.8832667626377,20.9397320024762,20.9714151491414,21.3154282152755,21.1735283116675,20.6702784810258,20.3210571870993,21.5573463679113,21.0551255167211,21.0388567132265,17.2152959942613,20.9086330342767,22.5030024424862,21.9847706362814,24.8020084057399
"ABCB1",20.8165266795593,17.268916587463,20.4740306871837,20.9009964900235,20.6445622190277,20.383695856031,20.4663563181725,19.9661378706797,20.3646551418919,20.261764385718,20.431094573065,20.7789658313385,20.6707573739052,NA,21.3489447643618
"ABCB10",22.3985208626711,22.4563860017939,19.1975118800655,22.0199351032222,22.0583220981264,21.8491236789371,22.3931089154731,21.8666707107475,22.4642413578617,22.2087841700485,22.1181302944204,22.3513938141248,19.0317200460338,19.6230544947173,22.2941414138717
"ABCB6",21.3978088307993,21.8501959961121,21.6641933509576,21.1752291208188,21.4653651219293,21.250023671348,21.3316594127673,21.5808648758431,21.3203885105154,21.217718724136,17.9809372584944,21.3743284498165,23.248221048913,NA,25.4049167947011
"ABCB7",21.9133613221333,21.9360368825646,21.9267878611989,21.8301519157478,21.9088767052513,21.7699943775677,21.9330854867484,21.7156482663357,21.8208598651817,18.4070021479242,21.5806675545873,21.8616204402751,19.9855181635181,21.5720779826252,23.9303037633625
"ABCB8",22.05424824487,18.4317057079323,18.482634666648,18.7208921817326,21.9375667113168,21.8087230584863,22.0904465057175,22.0768133141386,22.0471954863318,21.746891914389,18.3455221975828,21.7298580268753,21.6606261814765,19.5503992193237,23.1964335851122
"ABCC1",25.0469665611902,25.2992029167723,25.2425448915899,24.3566434488487,24.5304715880971,24.4419315825888,25.2377877477835,25.3557817628186,25.1539072621511,24.6785016579897,24.7019453414878,24.7789044398885,18.3678327691787,23.4358818320145,22.3710592653866
"ABCC10",NA,22.9983333857531,23.1868845350356,24.1177512046115,NA,23.4059646345081,23.2328953074218,22.9281455046925,20.3771406142555,23.977295560187,23.8049140461143,23.9369433141743,22.0106131280023,24.958367964851,19.9300847159908
"ABCC2",23.4112720168899,23.3581883846172,23.3655184207185,23.6407155901822,23.6390310747394,23.6054719446235,23.5411671759126,23.5483092401956,23.503593088777,23.2193783009586,23.0478799226858,23.1273262379521,22.1048117976266,20.747096454044,25.0827394340721
"ABCC3",23.8368283829072,24.0341522966851,23.9769273105178,23.4995049372767,23.5826017709198,23.4681482058259,24.0938115622701,24.3167499779718,24.1632990251057,20.6524992742325,20.650669630334,24.1392966101867,20.3795877802589,26.553399236707,23.7470011561094
"ABCC4",23.3194864904715,23.5997204924788,23.4074625357594,23.677134316566,23.9338575718678,20.469569284826,20.5963990709538,24.0769952835257,23.8550780457067,23.5484779940151,23.6393895107883,23.7001452537937,18.3548304690399,NA,19.2042033553237
"ABCC5",20.7942976613954,20.6291974005265,20.4866052622519,20.7105214348136,20.3597238270905,NA,20.2984966931563,17.4517423637434,NA,20.231259859978,20.2865013601101,20.6556844429325,25.7584952346534,23.1960901379356,21.7403238744898
"ABCC6",NA,16.4313017145511,17.4782403278013,NA,17.4442303482977,NA,16.9644988118692,NA,NA,NA,16.0690301231534,NA,27.8097143441819,23.350437733115,21.9857478000593
"ABCD3",23.3363417449951,23.6347027216964,23.6531855584305,23.203292136565,23.4297601957685,23.3922715600096,23.4228599953035,20.2119298714053,23.31702846013,23.2782439816484,23.3297075277621,23.4068602410399,18.0844295226773,21.5952611243194,25.5121898776639
"ABCE1",25.0910503056628,24.7301677950298,24.8824348362215,25.0765222132294,25.0501975294796,24.8831241008203,24.9871615521846,24.6149721324221,24.978700684868,24.9878370806633,24.892224884581,24.9997903379146,23.7686906538205,23.4680525968389,NA
"ABCF1",24.9487729143396,24.7486388924275,24.88119491682,24.8908125455818,24.8592729194949,24.8553527477246,24.8415604128371,24.7751739074417,24.9093082041929,24.7356631321426,24.6547047448427,21.376091995527,23.9264057653811,22.332867538368,23.9139836727172
"ABCF2",22.1560787545587,25.4800258170135,25.494922463335,25.4235328130102,25.4837415557137,25.4489436097715,25.4453800325632,25.4247956110451,25.4290374885435,25.5886023895307,25.5597123204138,22.2903344604633,14.9237917178269,24.0039984680328,NA
"ABCF3",23.2245500738214,23.2242637542526,23.3125128271046,16.5489272415761,23.215108436076,23.0911887140559,23.0262093478935,23.0524655649372,23.0481685433238,23.1741244326944,23.151432978713,23.2526160629988,21.1274559747892,27.2165673042969,20.5087735583236
"ABCG2",22.7322272667007,22.9580607618733,22.8363998356633,22.0685381971321,18.647704344974,21.871388279367,20.1537808486336,23.4140006303267,23.4999735856761,21.72760599707,21.8038323514382,21.8624372098113,18.8282604728705,22.7384745372767,27.1367364746409
