gene	Sample_1-1	Sample_1-2	Sample_1-3	Sample_1-4	Sample_2-1	Sample_2-2	Sample_2-3	Sample_2-4
Gene_0001	42276	32438	37907	34782	24498	37229	37893	42823
Gene_0002	7	10	7	8	14	17	10	10
Gene_0003	4	4	6	6	8	5	2	3
Gene_0004	15	11	22	30	31	24	20	33
Gene_0005	0	0	0	0	0	0	0	1
Gene_0006	10	8	7	2	8	11	10	6
Gene_0007	94	70	79	65	52	78	53	47
Gene_0008	122	74	75	129	92	81	89	92
Gene_0009	10	6	4	4	8	3	5	4
Gene_0010	223	195	187	138	587	584	889	749
Gene_0011	33	45	54	37	39	46	35	34
Gene_0012	56	77	51	69	59	63	74	66
Gene_0013	2577	1731	2823	3132	2233	3039	3479	2276
Gene_0014	21288	25925	16335	24143	25923	27742	19905	25764
Gene_0015	221	183	173	146	203	122	186	136
Gene_0016	449	546	540	480	126	169	104	103
Gene_0017	34	11	24	36	38	29	23	30
Gene_0018	19196	15826	15644	13978	10879	14398	13815	18157
Gene_0019	1	0	2	2	5	1	6	6
Gene_0020	18	12	12	20	19	15	14	19
Gene_0021	21738	18935	20304	33034	28548	19176	18214	16640
Gene_0022	168	139	200	178	727	550	983	799
Gene_0023	50	66	56	65	56	66	92	68
Gene_0024	36	59	47	54	24	41	35	38
Gene_0025	36	29	29	19	31	20	26	37
Gene_0026	12	21	13	23	6	9	15	17
Gene_0027	13	5	3	1	5	2	3	7
Gene_0028	41	42	35	28	61	34	43	55
Gene_0029	918	853	1057	1152	651	896	1537	1137
Gene_0030	26	21	20	17	17	19	18	19
Gene_0031	1898	1391	1411	1368	1527	2349	2926	1819
Gene_0032	351	269	206	211	378	157	381	354
Gene_0033	2635	1859	2538	2135	779	536	529	659
Gene_0034	0	0	1	0	0	1	0	0
Gene_0035	5096	4268	3734	5424	2442	3693	4486	4368
Gene_0036	22	18	14	16	104	89	63	72
Gene_0037	8109	4055	11046	7357	35402	35199	39119	35624
Gene_0038	1	0	1	0	2	1	1	0
Gene_0039	15	20	14	13	9	15	15	8
Gene_0040	177	287	310	327	1761	1212	1452	1099
Gene_0041	72	32	57	56	67	46	44	52
Gene_0042	29	36	46	44	69	67	59	47
Gene_0043	99	178	142	118	191	147	193	142
Gene_0044	61	61	66	78	58	62	47	86
Gene_0045	24501	31293	21896	19008	28870	23064	16257	23200
Gene_0046	78	91	46	61	43	92	50	72
Gene_0047	10	4	2	8	5	16	9	4
Gene_0048	21	24	28	25	26	24	26	17
Gene_0049	104	102	78	95	77	61	101	61
Gene_0050	13	16	5	1	16	22	33	18
Gene_0051	1	0	1	0	0	2	0	1
Gene_0052	388	274	506	373	341	302	381	437
Gene_0053	26	30	42	28	32	46	44	41
Gene_0054	42838	28561	52489	37193	115540	187866	161571	156640
Gene_0055	3085	3098	2660	3837	2180	2282	1806	3587
Gene_0056	3	4	4	6	23	12	6	18
Gene_0057	110	89	129	121	109	85	163	150
Gene_0058	15	8	27	16	16	13	6	16
Gene_0059	3	5	7	7	9	7	6	2
Gene_0060	81	48	127	113	77	78	126	87
Gene_0061	49	59	59	45	46	38	37	45
Gene_0062	1	5	4	1	2	0	2	3
Gene_0063	1	2	1	2	2	4	5	4
Gene_0064	6	22	6	5	15	8	14	5
Gene_0065	39	35	23	34	27	45	40	13
Gene_0066	3005	2976	2205	3186	4054	3344	2962	2992
Gene_0067	233	315	284	264	365	419	217	297
Gene_0068	47	70	74	53	50	86	70	79
Gene_0069	2191	2410	2004	1747	2378	3245	2465	1628
Gene_0070	22	21	22	33	19	28	16	16
Gene_0071	5	1	5	8	7	3	6	9
Gene_0072	0	3	3	1	1	2	3	2
Gene_0073	27	39	37	38	28	54	20	19
Gene_0074	2313	1595	2134	3365	2785	2636	1204	2084
Gene_0075	275	279	318	277	403	204	275	215
Gene_0076	1396	1322	1134	1144	862	1122	925	1254
Gene_0077	117	124	113	193	140	157	134	163
Gene_0078	14	7	22	15	10	11	12	8
Gene_0079	32	19	40	37	32	36	36	32
Gene_0080	1	4	7	1	8	7	5	5
Gene_0081	99	79	69	95	89	93	49	125
Gene_0082	2429	2358	3242	2677	1190	1025	838	756
Gene_0083	159	268	139	156	173	178	148	180
Gene_0084	46	40	43	40	20	12	31	14
Gene_0085	63	30	48	53	68	37	63	45
Gene_0086	0	0	0	0	0	0	0	0
Gene_0087	73	32	41	35	66	63	59	52
Gene_0088	2031	1471	1995	1609	6574	7372	6893	7076
Gene_0089	1	5	2	2	8	1	5	1
Gene_0090	177	85	152	110	187	131	157	157
Gene_0091	17	24	26	23	31	27	25	32
Gene_0092	15	8	17	13	13	11	14	14
Gene_0093	169	333	200	292	302	239	293	264
Gene_0094	42	42	55	38	48	58	56	55
Gene_0095	14	22	19	18	27	16	17	23
Gene_0096	46	33	46	37	65	48	36	76
Gene_0097	22	30	34	31	24	22	39	34
Gene_0098	21	15	20	23	18	23	16	25
Gene_0099	1002	882	724	835	894	980	860	1244
Gene_0100	679	792	592	467	577	946	540	989
Gene_0101	4	9	6	3	1	1	2	4
Gene_0102	47	73	58	59	65	63	105	53
Gene_0103	3	3	5	2	6	3	1	2
Gene_0104	6	13	6	8	17	14	6	10
Gene_0105	40	70	69	70	44	48	65	54
Gene_0106	630	580	393	693	502	473	402	606
Gene_0107	1436	1146	1676	1937	1120	1333	1263	2306
Gene_0108	7	9	7	8	56	45	22	49
Gene_0109	44	105	91	78	96	44	90	74
